SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
Republic Bancorp Co.,1021032,Republic Bancorp Co.,Operating,Private Company,Never Sponsor-Backed,republic bancorp,23540,Republic Bancorp Inc,Banks,republic bancorp
"Republic Bancorp, Inc. (NASDAQGS:RBCA.A)",1018438,"Republic Bancorp, Inc.",Operating,Public Company,Never Sponsor-Backed,republic bancorp,23540,Republic Bancorp Inc,Banks,republic bancorp
Republic Financial Corporation,104995,Republic Financial Corporation,Operating,Private Company,"Prior Sponsor-Backed [American Capital, Ltd. (NASDAQGM:ACAS) (NASDAQGM:ACAS)]",republic financial corporation,1277704,Republic Financial Corporation,Financial Services,republic financial corporation
Republic Financial Corporation,4107455,Republic Financial Corporation,Liquidating,Private Company,Never Sponsor-Backed,republic financial corporation,1277704,Republic Financial Corporation,Financial Services,republic financial corporation
"Republic First Bancorp, Inc. (OTCEM:FRBK.Q)",100298,"Republic First Bancorp, Inc.",Reorganizing,Public Company,Pending or Current Sponsor-Backed [Driver Management Company LLC],republic first bancorp,13708,Republic First Bancorp Inc,Banks,republic first bancorp
"Republic Services, Inc. (NYSE:RSG)",4102003,"Republic Services, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Parnassus Investments, LLC]

Prior Sponsor-Backed [Blackstone Inc. (NYSE:BX) (NYSE : BX);MK Capital]",republic services,8307,Republic Services Inc,Support Services (Industrial Goods and Services),republic services
"Resaca Exploitation, Inc. (DB:RCEA)",4391854,"Resaca Exploitation, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Oak Hill Advisors, L.P.]

Prior Sponsor-Backed [NGP Investment Advisor, L.P.]",resaca exploitation,23898,Resaca Exploitation Inc,Oil and Gas,resaca exploitation
"Residential Credit Solutions, Inc.",4261837,"Residential Credit Solutions, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Sculptor Capital Management, Inc. (NYSE:SCU) (NYSE : SCU);Equifin Capital Partners]",residential credit solutions,1265614,Residential Credit Solutions Inc,Financial Services,residential credit solutions
"Residential Mortgage Services, Inc.",4107460,"Residential Mortgage Services, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Eos Management, L.P.;Eos]",residential mortgage services,214318,Residential Mortgage Services Inc,Financial Services,residential mortgage services
Resolute Management Inc.,4287831,Resolute Management Inc.,Operating,Private Company,Never Sponsor-Backed,resolute management,116722,Resolute Management Inc,Support Services (Industrial Goods and Services) | Insurance,resolute management
"Resolution Health, Inc.",4204862,"Resolution Health, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Trident Capital, Inc.;EJ Financial Enterprises, Inc.;Sunstone Partners Management, LLC]",resolution health,1331809,Resolution Health INC,Health Care Equipment and Services,resolution health
"Resource America, Inc. (NASDAQGM:REXI)",105416,"Resource America, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Mount Logan Capital Inc. (OTCPK:PYCF.F) (OTCPK : PYCF.F);Sierra Crest Investment Management LLC]

Prior Sponsor-Backed [Omega Associates, L.L.C.;Omega Advisors, Inc.;Raging Capital Management, LLC]",resource america,13919,Resource America Inc,Financial Services,resource america
Resource Life Insurance Company,16099,Resource Life Insurance Company,Out of Business,Private Company,Never Sponsor-Backed,resource life insurance,220590,Resource Life Insurance Co,Insurance,resource life insurance
"Resource Nation, Inc.",4261140,"Resource Nation, Inc.",Operating,Private Company,"Prior Sponsor-Backed [JMI Management, L.P.]",resource nation,1415804,Resource Nation LLC,Software and Computer Services,resource nation
Retail Opportunity Investments Corp. (NASDAQGM:NAQ),4244279,Retail Opportunity Investments Corp.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Invesco Advisers, Inc.;NRDC Equity Partners;The Vanguard Group, Inc.;BlackRock, Inc. (NYSE:BLK) (NYSE : BLK);CenterSquare Investment Management LLC]",retail opportunity investments,35175,Retail Opportunity Investments Corp,Retail | Financial Services,retail opportunity investments
Retail Value Inc. (OTCPK:RVI),10730423,Retail Value Inc.,Operating,Private Company,"Pending or Current Sponsor-Backed [Luxor Capital Group, LP;Fidelity Management & Research Company LLC]",retail value,461466,Retail Value Inc,Financial Services,retail value
"RetailMeNot, Inc. (NASDAQGM:SALE)",4296416,"RetailMeNot, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [GV Management Company, LLC]

Prior Sponsor-Backed [Institutional Venture Partners;Alpine Management Services III, LLC;Omega Venture Management, LLC;JP Morgan Asset Management;Adams Street Partners, LLC;Austin Ventures;J.P. Morgan Investment Management Inc.;Fisher Lynch Capital, LLC;Escalate Capital Partners;NVP Associates, LLC;Healthbox, LLC;Character Capital LLC;NVP Management, LLC]",retailmenot,121695,RetailMeNot Inc,Retail,retailmenot
"Retirable, Inc.",19867806,"Retirable, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Diagram Ventures Inc.;Sagard Holdings ULC;Portage Ventures L.P.;SilverCircle;Primary Venture Management, LLC;Vestigo Ventures LLC;Primetime Partners Management Company, LLC]",retirable,2162963,Retirable INC,Personal and Household Goods,retirable
"ReverseVision, Inc.",4347396,"ReverseVision, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [TVC Capital],reversevision,1194418,ReverseVision Inc,Software and Computer Services,reversevision
"RevSpring, Inc.",4294612,"RevSpring, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Frazier Management, L.L.C.]

Prior Sponsor-Backed [Bolder Capital, LLC;Edgewater Services, LLC;New Enterprise Associates, Inc.;Beringea, LLC;GTCR LLC;Jordan/Zalaznick Advisers, Inc.;GCM Customized Fund Investment Group, L.P.;CIP Fund Management LLC]",revspring,425792,RevSpring Inc,Software and Computer Services | Financial Services,revspring
"Revver, Inc.",4200036,"Revver, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Turner New Media Investments Inc]

Prior Sponsor-Backed [Comcast Ventures;Threshold Ventures Management Company, LLC;Bessemer Venture Partners;Draper Richards, L.P.]",revver,1425079,Revver INC,Software and Computer Services,revver
Reward Enterprises Inc. (OTCPK:RWRD),4096618,Reward Enterprises Inc.,Operating,Private Company,Never Sponsor-Backed,reward enterprises,95522,Reward Enterprises Inc,Financial Services,reward enterprises
"Rexford Industrial Realty, Inc. (NYSE:REXR)",4391243,"Rexford Industrial Realty, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC],rexford industrial realty,124919,Rexford Industrial Realty Inc,Financial Services,rexford industrial realty
"RGC Resources, Inc. (NASDAQGM:RGCO)",4057142,"RGC Resources, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [T. Rowe Price Associates, Inc.;Dalton, Greiner, Hartman, Maher & Co., LLC]",rgc resources,39789,RGC Resources Inc,Utilities,rgc resources
Rhodes Financial Services Inc,4182126,Rhodes Financial Services Inc,Operating,Private Company,Never Sponsor-Backed,rhodes financial services,2468028,Rhodes Financial Services Inc,Retail,rhodes financial services
"Rich Investments, Inc.",4028621,"Rich Investments, Inc.",Operating,Private Company,Never Sponsor-Backed,rich investments,2037687,Rich Investments INC,Financial Services,rich investments
Right Media LLC,4149466,Right Media LLC,Operating,Private Company,"Pending or Current Sponsor-Backed [Altaba Inc. (OTCPK:LBTA) (OTCPK : LBTA)]

Prior Sponsor-Backed [Redpoint Management, LLC;Pinnacle Ventures, L.L.C;WGI Group, LLC]",right media,1070578,Right Media INC,Support Services (Industrial Goods and Services),right media
"Rightnow Technologies, Inc. (NASDAQGM:RNOW)",4165037,"Rightnow Technologies, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Summit Partners, L.P.;Greylock Partners;G & H Partners L.L.P.]",rightnow technologies,34433,RightNow Technologies Inc,Software and Computer Services,rightnow technologies
"RightsFlow, Inc.",4308305,"RightsFlow, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Originate Ventures;Westech Investment Advisors, LLC;Activate Venture Partners]",rightsflow,1198643,Rightsflow LLC,Software and Computer Services,rightsflow
"RigNet, Inc. (NASDAQGM:RNET)",4383196,"RigNet, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [White Hat Capital Partners LP]

Prior Sponsor-Backed [Cubera Private Equity AS;Signet Healthcare Partners;Altira Group LLC;T. Rowe Price Associates, Inc.;Fidelity Management & Research Company LLC;Escalate Capital Partners;HitecVision AS (OTCNO:HITV) (OTCNO : HITV);KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR);Millennium TVP Management Company, LLC;Houston Ventures]",rignet,98680,RigNet Inc,Software and Computer Services,rignet
"RingCentral, Inc. (NYSE:RNG)",4406983,"RingCentral, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [TriplePoint Capital, LLC;Duff Ackerman & Goodrich, L.L.C.;Wing Venture Management, LLC;Akkadian Ventures, Inc.;Northgate Capital Group, L.L.C.;Hermes Growth Partners;RTP Global]

Prior Sponsor-Backed [Khosla Ventures, LLC;Sequoia Capital Operations LLC;Scale Management, L.L.C.;Cisco Investments;Wil, LLC;DAG Ventures, LLC;RTP Ventures]",ringcentral,124921,RingCentral Inc,Telecommunications | Software and Computer Services,ringcentral
"Ringleader Digital, Inc.",4230231,"Ringleader Digital, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Stage 1 Ventures, LLC]",ringleader digital,1057363,Ringleader Digital,Telecommunications,ringleader digital
"Rio Holdings, Inc.",4088688,"Rio Holdings, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Convergent Investors;HarbourVest Partners, LLC;Alta Equity Partners;Kinetic Ventures, L.L.C.;TVL Management Corporation;Prime New Ventures;Garvin Hill Capital Partners LLC;South Atlantic Venture Funds;Centennial Ventures]

Prior Sponsor-Backed [J.H. Whitney Capital Partners, LLC;Lightspeed Ventures, LLC;Austin Ventures;Norwest Equity Partners;Catalyst Investors, L.L.C.;Hoak & Co.;BancBoston Ventures, Inc.;TD Capital;Nautic Partners, LLC;SR Capital Advisors, LLC;CIBC Capital Partners;PNC Equity Partners;Academy Funds]",rio holdings,157949,Rio Holdings Inc,Financial Services,rio holdings
"Ripley Entertainment, Inc.",4203915,"Ripley Entertainment, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [SPB Partners, LLC]",ripley entertainment,458288,Ripley Entertainment Inc,Travel and Leisure,ripley entertainment
"RISI, Inc.",4151823,"RISI, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Pegasus Capital Advisors, L.P.]",risi,392160,RISI Inc,Support Services (Industrial Goods and Services),risi
"Risk Management Alternatives, Inc.",4103437,"Risk Management Alternatives, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [GTCR LLC;Wachovia Capital Associates, Inc.;Peachtree Equity Partners]",risk management alternatives,1274519,Risk Management Alternatives INC,Financial Services,risk management alternatives
"Risk Management Solutions, Inc.",4150321,"Risk Management Solutions, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Metalmark Capital LLC;Sutter Hill Ventures;DMG Information;J.P. Morgan Partners, LLC;Watermill Management Company, LLC;Bain Capital Ventures,LP]",risk management solutions,206171,Risk Management Solutions Inc,Support Services (Industrial Goods and Services),risk management solutions
"RiskMetrics Group, LLC (NYSE:RISK)",4147050,"RiskMetrics Group, LLC",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [JPMC Strategic Investments I Corporation;Intel Capital Corporation;DB eVentures;TCMI Inc.;JPMP Capital, LLC;Spectrum Equity Management, L.P.;W Capital Management, LLC;Bregal Sagemount;Calvert Capital Management Company;Sony Venture Capital;DB Capital Venture Partners;General Atlantic Service Company, L.P.;J.P. Morgan Partners, LLC]",riskmetrics group,9951,Riskmetrics Group Inc,Software and Computer Services | Financial Services,riskmetrics group
River Valley Community Bancorp (OTCPK:RVCB),5052715,River Valley Community Bancorp,Operating,Public Company,Never Sponsor-Backed,river valley community bancorp,368038,River Valley Community Bancorp,Banks | Financial Services,river valley community bancorp
"RKA Petroleum Companies, Inc.",4239054,"RKA Petroleum Companies, Inc.",Operating,Private Company,Never Sponsor-Backed,rka petroleum companies,2015717,RKA Petroleum Companies LLC,Oil and Gas,rka petroleum companies
RLI Corp. (NYSE:RLI),103386,RLI Corp.,Operating,Public Company,Never Sponsor-Backed,rli,10559,RLI Corp,Insurance,rli
"RLJ Acquisition, Inc. (NASDAQGM:RLJA)",4317866,"RLJ Acquisition, Inc.",Operating,Private Company,Prior Sponsor-Backed [Wexford Capital LP;Senator Investment Group LP;Fir Tree Partners],rlj acquisition,100297,RLJ Acquisition Inc,Financial Services,rlj acquisition
RLJ Lodging Trust (NYSE:RLJ),4279712,RLJ Lodging Trust,Operating,Public Company,"Pending or Current Sponsor-Backed [Church Pension Fund;Invesco Advisers, Inc.;Illinois State Board of Investment;The Boeing Company Employee Retirement Plans Master Trust;Land & Buildings Investment Management, LLC;Fidelity Management & Research Company LLC;J.P. Morgan Investment Management Inc.;General Electric Pension Trust;Allstate Investments, LLC;Teacher Retirement System of Texas;Teachers' Retirement System of the State of Illinois]",rlj lodging trust,2614325,RLJ Lodging Trust,Financial Services,rlj lodging trust
Roanoke Insurance Group Inc.,4023314,Roanoke Insurance Group Inc.,Operating Subsidiary,Private Company,Prior Sponsor-Backed [The Roanoke Group],roanoke insurance group,482099,Roanoke Insurance Group Inc,Insurance,roanoke insurance group
"Rocket Broadband Networks, Inc.",4237286,"Rocket Broadband Networks, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Niagara Region Venture Fund;Onondaga Venture Capital Fund, LLC]

Prior Sponsor-Backed [Rand Capital SBIC, L.P;Primary Venture Management, LLC;Trillium Group, LLC]",rocket broadband networks,1075483,Rocket Broadband Networks INC,Support Services (Industrial Goods and Services),rocket broadband networks
"Rocket Software, Inc.",4246858,"Rocket Software, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Bain Capital Private Equity, LP;DHS Group]

Prior Sponsor-Backed [Court Square Capital Management, L.P.]",rocket software,227899,Rocket Software Inc,Software and Computer Services,rocket software
"RockMelt, Inc.",4402816,"RockMelt, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [First Round Capital Management, LLC;Khosla Ventures, LLC;Inventures Group;Accel Partners;Andreessen Horowitz LLC;Techammer]",rockmelt,602240,RockMelt Inc,Software and Computer Services,rockmelt
"Rockwood Holdings, Inc. (NYSE:ROC)",4225580,"Rockwood Holdings, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Sculptor Capital LP;aPriori Capital Partners;Apriori Capital Partners L.P.;Credit Suisse Private Equity, LLC;KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR)]",rockwood holdings,7895,Rockwood Holdings Inc,Chemicals | Financial Services,rockwood holdings
"Roebling Financial Corp, Inc. (NASDAQGM:RBLG)",4050604,"Roebling Financial Corp, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Roebling Bank, ESOP;Oppvest, LLC]",roebling financial,51683,Roebling Financial Corp Inc,Banks,roebling financial
"Roku, Inc. (NASDAQGS:ROKU)",6225324,"Roku, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Flybridge Capital Partners;Guangzhou Cornerstone Asset Management Co., Ltd.;Waverley Capital;Menlo Ventures Management, L.P.;Accomplice Management LLC;Fidelity Investments;Globespan Capital Management, LLC;Atlas Venture L.P.;Thomvest Ventures, Inc.]

Prior Sponsor-Backed [Firsthand Capital Management, Inc.;All Blue Capital Ltd;Hearst Ventures;Luminari Capital]",roku,133590,Roku Inc,Software and Computer Services | Retail,roku
"Ronco Communications & Electronics, Inc.",4154456,"Ronco Communications & Electronics, Inc.",Operating,Private Company,Never Sponsor-Backed,ronco communications electronics,1810302,Ronco Communications & Electronics INC,Support Services (Industrial Goods and Services),ronco communications electronics
Rosebud Mining Company,4114022,Rosebud Mining Company,Operating,Private Company,Never Sponsor-Backed,rosebud mining,64846,Rosebud Mining Co,Mining,rosebud mining
"Rosetta Resources, Inc. (NASDAQGM:ROSE)",4103073,"Rosetta Resources, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [First Pacific Advisors, LP;SailingStone Capital Partners LLC;RS Investment Management Co. LLC]",rosetta resources,11777,Rosetta Resources Inc,Oil and Gas,rosetta resources
"Rovion, Inc.",4270306,"Rovion, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [eCorporation],rovion,1421049,Rovion INC,Software and Computer Services,rovion
"Royal Bancshares of Pennsylvania, Inc. (NASDAQGM:RBPA.A)",100416,"Royal Bancshares of Pennsylvania, Inc.",Acquired,Public Company,"Prior Sponsor-Backed [Wellington Alternative Investments LLC;Emerald Asset Advisors LLC;EJF Capital LLC;FJ Capital Management, LLC]",royal bancshares of pennsylvania,46046,Royal Bancshares of Pennsylvania Inc,Banks,royal bancshares of pennsylvania
"Royal Financial, Inc. (OTCPK:RYFL)",4095324,"Royal Financial, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [PL Capital, LLC]",royal financial,51950,Royal Financial Inc,Banks,royal financial
"Royal Gold, Inc. (NASDAQGS:RGLD)",4216479,"Royal Gold, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC;Turki Almadhi Ventures Inc.]

Prior Sponsor-Backed [Acqua Wellington Asset Management LLC]",royal gold,3389,Royal Gold Inc,Mining,royal gold
"RREEF Property Trust, Inc.",4317224,"RREEF Property Trust, Inc.",Operating Subsidiary,Private Company,Pending or Current Sponsor-Backed [RREEF America L.L.C.],rreef property trust,347288,Rreef Property Trust Inc,Financial Services,rreef property trust
"RSC Holdings, Inc. (NYSE:RRR)",4235526,"RSC Holdings, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [JGD Management Corp.;Lord, Abbett & Co. LLC;Oak Hill Capital Management, LLC;Barrow, Hanley, Mewhinney & Strauss, LLC]",rsc holdings,9990,RSC Holdings Inc,Support Services (Industrial Goods and Services),rsc holdings
Rts Investor Corp.,4283829,Rts Investor Corp.,Operating,Private Company,Never Sponsor-Backed,rts investor,540390,RTS Investor Corp,Financial Services,rts investor
"Ruba, Inc.",4259429,"Ruba, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Threshold Ventures Management Company, LLC;Benchmark]",ruba,1135273,Ruba LLC,Personal and Household Goods,ruba
"RulesPower, Inc.",4106667,"RulesPower, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Minotaur Capital Management, Inc.;Core Management II Corporation;Kodiak Ventures Management Company, Inc]",rulespower,1195398,Rulespower Inc,Software and Computer Services,rulespower
Rumble Inc. (NASDAQGM:RUM),14719678,Rumble Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Paulson & Co. Inc.;Obelysk, Inc. (TSX:SRG) (TSX : SRG);Islet Management, LP;Craft Ventures, LLC;Narya Capital]

Prior Sponsor-Backed [Colt Ventures]",rumble,1129163,Rumble LLC,Personal and Household Goods,rumble
"Rural Media Group, Inc.",4207994,"Rural Media Group, Inc.",Operating,Private Company,Never Sponsor-Backed,rural media group,2197843,Rural Media Group INC,Media,rural media group
"Rush Enterprises, Inc. (NASDAQGS:RUSH.A)",4156274,"Rush Enterprises, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [Ancora Advisors LLC],rush enterprises,14762,Rush Enterprises Inc,Retail,rush enterprises
S&P Global Market Intelligence Inc.,4095182,S&P Global Market Intelligence Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Northwood Ventures, L.L.C.;J.P. Morgan Partners, LLC;Merrill Lynch Investment Managers LP;Himalaya Capital Ventures, L.P.;Gamma Investors;Dresdner Kleinwort Wasserstein Online Markets Technology Investments;Rosetta Partners LLC;JPMC Strategic Investments I Corporation;Highbridge Principal Strategies Growth Equity]",sp global market intelligence,2530638,S&P Global Market Intelligence LLC,Support Services (Industrial Goods and Services),sp global market intelligence
S&P Global Market Intelligence Inc.,4095182,S&P Global Market Intelligence Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Northwood Ventures, L.L.C.;J.P. Morgan Partners, LLC;Merrill Lynch Investment Managers LP;Himalaya Capital Ventures, L.P.;Gamma Investors;Dresdner Kleinwort Wasserstein Online Markets Technology Investments;Rosetta Partners LLC;JPMC Strategic Investments I Corporation;Highbridge Principal Strategies Growth Equity]",sp global market intelligence,286281,S&P Global Market Intelligence Inc,Support Services (Industrial Goods and Services),sp global market intelligence
"Sabrix, Inc.",4245997,"Sabrix, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Osprey Ventures, L.P.;GKM Ventures;Westech Investment Advisors, LLC;Timberline Venture Partners;CB (Berkman) Capital LLC;The Four Rivers Group;Greenspring Associates, Inc.;TVL Management Corporation;Mohr Davidow Ventures;VSP Capital;Soda Rock Partners]",sabrix,599816,Sabrix Inc,Support Services (Industrial Goods and Services),sabrix
Sachem Capital Corp. (NYSEAM:SACH),4842393,Sachem Capital Corp.,Operating,Public Company,Never Sponsor-Backed,sachem capital,347171,Sachem Capital Corp,Financial Services,sachem capital
Saddle River Valley Bancorp,4169484,Saddle River Valley Bancorp,Out of Business,Private Company,Never Sponsor-Backed,saddle river valley bancorp,2191358,Saddle River Valley Bancorp,Banks,saddle river valley bancorp
Saddle River Valley Bank,4104378,Saddle River Valley Bank,Out of Business,Private Company,Prior Sponsor-Backed [J.C. Flowers & Co. LLC],saddle river valley bank,1267854,Saddle River Valley Bank,Financial Services,saddle river valley bank
Saehan Bancorp (OTCPK:SAEB),1981051,Saehan Bancorp,Acquired,Private Company,Prior Sponsor-Backed [Abacus Capital Group LLC],saehan bancorp,55366,Saehan Bancorp,Banks,saehan bancorp
"Safeguard Scientifics, Inc. (OTCQX:SFES)",4005867,"Safeguard Scientifics, Inc.",No Longer Investing,Public Company,"Pending or Current Sponsor-Backed [Horton Capital Management, LLC;Yakira Capital Management, Inc.;DWS Investment Management Americas, Inc.]

Prior Sponsor-Backed [RBC Global Asset Management (U.S.) Inc.;BMO Asset Management Corp.;Weintraub Capital Management, L.P.]",safeguard scientifics,38133,Safeguard Scientifics Inc,Financial Services,safeguard scientifics
"SafeNet, Inc. (NASDAQGM:SFNT)",4190939,"SafeNet, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Liberty Ridge Capital, Inc.;Paradigm Capital Corporation;Hollis Capital Management, LLC;Vector Capital Management, L.P.;Valhalla Partners;Tudor Investment Corporation;Trellus Management Company, LLC;Agile Asset Management, LLC;Lancaster Investment Partners;Clarion Capital Corporation;Clarion Partners, LLC;Chartwell Investment Partners, LLC;Veritas Investment Trust GmbH;BayStar Capital;HarbourVest Partners, LLC;Gruber & McBaine Capital Management, LLC;AWM Investment Company Inc;Savano Direct Capital Partners, LLC;Utah Angels;TCMP3 Capital LLC]",safenet,574292,SafeNet Inc,Software and Computer Services,safenet
"SafeRent, Inc.",4088054,"SafeRent, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Hexagon, LLC;Boulder Ventures Limited;IA Capital Group, Inc.;Roser Ventures, LLC;Potomac Ventures;Ascend Venture Group, LLC;AvalonBay Communities, Inc. (NYSE:AVB) (NYSE : AVB);Archstone-Smith Trust (NYSE:ASN) (NYSE : ASN);Cohen & Steers Capital Management, Inc.;Mellon Ventures, Inc.]",saferent,1196423,Saferent INC,Software and Computer Services,saferent
"Safety Insurance Group, Inc. (NASDAQGS:SAFT)",4074760,"Safety Insurance Group, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Dimensional Fund Advisors LP;California Public Employees' Retirement System;Mann Capital Company]

Prior Sponsor-Backed [Jordan/Zalaznick Advisers, Inc.;TJC LP;TCW/Crescent Mezzanine Partners, L.L.C.]",safety insurance group,12442,Safety Insurance Group Inc,Insurance,safety insurance group
"Saga Communications, Inc. (NASDAQGM:SGA)",4121709,"Saga Communications, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [T. Rowe Price Associates, Inc.;California Public Employees' Retirement System]

Prior Sponsor-Backed [BV Investment Partners, L.P.]",saga communications,41406,Saga Communications Inc,Media,saga communications
"Sage Telecom, Inc.",4150681,"Sage Telecom, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [The Texas Mezzanine Fund]

Prior Sponsor-Backed [Silver Point Capital, L.P.;Summit Partners, L.P.]",sage telecom,157975,Sage Telecom Inc,Telecommunications,sage telecom
Salu Inc,4248301,Salu Inc,Operating,Private Company,Never Sponsor-Backed,salu,1422084,Salu Inc,Software and Computer Services,salu
"Samco Holdings, Inc.",4282512,"Samco Holdings, Inc.",Operating,Private Company,Never Sponsor-Backed,samco holdings,2476766,SAMCO Holdings Inc,Financial Services,samco holdings
San Joaquin Bancorp (OTCPK:SJQU),4136809,San Joaquin Bancorp,Out of Business,Private Company,Never Sponsor-Backed,san joaquin bancorp,57735,San Joaquin Bancorp,Banks,san joaquin bancorp
Sandow Media LLC,4215808,Sandow Media LLC,Operating,Private Company,"Pending or Current Sponsor-Backed [Evolution Media Growth Partners]

Prior Sponsor-Backed [Veronis Suhler Stevenson;VSS Fund Management LLC]",sandow media,1064388,Sandow Media Corp,Telecommunications,sandow media
Sands Hill Coal Co. Inc.,4115243,Sands Hill Coal Co. Inc.,Operating,Private Company,Never Sponsor-Backed,sands hill coal,1841867,Sands Hill Coal CO INC,Chemicals,sands hill coal
Sandy Spring Bank,1010251,Sandy Spring Bank,Operating Subsidiary,Private Company,Never Sponsor-Backed,sandy spring bank,2481828,Sandy Spring Bank,Banks,sandy spring bank
Santander Consumer USA Holdings Inc. (NYSE:SC),4397473,Santander Consumer USA Holdings Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Warburg Pincus LLC;Merrill Lynch Capital Partners Inc.;Centerbridge Partners, L.P.;Bain Capital Private Equity, LP;Goldman Sachs Asset Management, L.P.;KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR);Ridgemont Partners Management, LLC;Dundon Capital Partners LLC]",santander consumer usa holdings,133928,Santander Consumer USA Holdings Inc,Financial Services,santander consumer usa holdings
"Santeon Group, Inc. (OTCPK:SANT)",4225265,"Santeon Group, Inc.",Operating,Public Company,Never Sponsor-Backed,santeon group,99067,Santeon Group Inc,Software and Computer Services,santeon group
"SAP America, Inc.",4070688,"SAP America, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Purdue Ventures],sap america,202710,SAP America Inc,Software and Computer Services,sap america
"SAR Holdings, Inc.",4198881,"SAR Holdings, Inc.",Operating,Private Company,Never Sponsor-Backed,sar holdings,187898,SAR Holdings Inc,Financial Services,sar holdings
"Sasco Capital, Inc.",109675,"Sasco Capital, Inc.",Operating,Private Company,Never Sponsor-Backed,sasco capital,149755,Sasco Capital Inc,Financial Services,sasco capital
"Sather Financial Group, Inc.",4117180,"Sather Financial Group, Inc.",Operating,Private Company,Never Sponsor-Backed,sather financial group,2585526,Sather Financial Group Inc,Financial Services,sather financial group
Sauder Woodworking Co.,4062808,Sauder Woodworking Co.,Operating,Private Company,Never Sponsor-Backed,sauder woodworking,2303783,Sauder Woodworking Co,Personal and Household Goods,sauder woodworking
"Saul Centers, Inc. (NYSE:BFS)",103068,"Saul Centers, Inc.",Operating,Public Company,Pending or Current Sponsor-Backed [B.F. Saul Real Estate Investment Trust (OTCPK:SABF) (OTCPK:SABF)],saul centers,11091,Saul Centers Inc,Financial Services,saul centers
